Longitude (deg),Latitude (deg)
1.294672751410000728e+02,3.559966756900007567e+01
1.294634879010000077e+02,3.557788335900005450e+01
1.294613512840001022e+02,3.555206138500005864e+01
1.294546004570000832e+02,3.551325104400007149e+01
1.294444279310000638e+02,3.549681224200008955e+01
1.294279891290000251e+02,3.547874583500004064e+01
1.294128524100000277e+02,3.547207265800005871e+01
1.294062606130000859e+02,3.548969147300005034e+01
1.294004012380000859e+02,3.551264069200004769e+01
1.293874617850000277e+02,3.552985260600007678e+01
1.293735457690000885e+02,3.553278229400007149e+01
1.293652449880000859e+02,3.551325104400007149e+01
1.293789168630000859e+02,3.551068756700004769e+01
1.293870548840000083e+02,3.550226471600007017e+01
1.293909611340000083e+02,3.548993561400004637e+01
1.293918563160000303e+02,3.547573476800005210e+01
1.293874617850000277e+02,3.546230703300005871e+01
1.293772078790000251e+02,3.545917389500004901e+01
1.293657332690000885e+02,3.545831940300007545e+01
1.293577580090000083e+02,3.545180898600006003e+01
1.293592228520000162e+02,3.544464752800007545e+01
1.293605034800000340e+02,3.542605606700004728e+01
1.293645813290000888e+02,3.540687005700004875e+01
1.293552619140000388e+02,3.539457178000003523e+01
1.293467872700000498e+02,3.538227253800005201e+01
1.293551297490000707e+02,3.537266731900007244e+01
1.293618139900000870e+02,3.536717183100006423e+01
1.293604435560000638e+02,3.535358307500007413e+01
1.293398750290000407e+02,3.534807423200004450e+01
1.293205132100000583e+02,3.533854547200007801e+01
1.292927198690000523e+02,3.531604908900004602e+01
1.292692055470000696e+02,3.531676652800007332e+01
1.292641262910000250e+02,3.530242761400006657e+01
1.292624001610000732e+02,3.528398874500004467e+01
1.292564841720000004e+02,3.527442152200006831e+01
1.292497345740000583e+02,3.526622774600008370e+01
1.292553817070000832e+02,3.525259023600006003e+01
1.292557072270000162e+02,3.524697500200005607e+01
1.292443903440000668e+02,3.522821804000005841e+01
1.292284790270000485e+02,3.520053055300007827e+01
1.292106926060000660e+02,3.518300137000005634e+01
1.292010840940000662e+02,3.516662808600005974e+01
1.291943465500000912e+02,3.515550364800003535e+01
1.291788955530000749e+02,3.515575745200004576e+01
1.291674798470000951e+02,3.515616830700008677e+01
